"open","high","low","volume","average_volume_2_weeks","average_volume","high_52_weeks","dividend_yield","float","low_52_weeks","market_cap","pb_ratio","pe_ratio","shares_outstanding","ceo","headquarters_city","headquarters_state","sector","industry","num_employees","year_founded","symbol"
93.61,93.9,90.79,9639118,10561770.2,10561770.2,127,5.53055,1866699953,51.6,169652472600,1.21023,46.1151,1866980000,"Michael K. Wirth","San Ramon","California","Energy Minerals","Integrated Oil",48200,1906,"CVX"
997.95,1006.71,987,630947,698840.6,698840.6,1087,NA,27498891.4464,415,27753756663,16.9184,85.1859,27890700,"Brian R. Niccol","Newport Beach","California","Consumer Services","Restaurants",83000,1993,"CMG"
124.55,124.55,122.1,3008923,4211831.7,4211831.7,167.74,2.5372,448412798.289,87.35,55837374470,1.06337,15.3549,451357000,"Evan G. Greenberg","Zurich","Zurich","Finance","Property/Casualty Insurance",33000,1882,"CB"
73.9,74.68,73.57,1983201,1919023.9,1919023.9,80.99,1.31651,245335560.569,47.98,18205917720,6.35976,27.3991,245893000,"Matthew Thomas Farrell","Ewing","New Jersey","Consumer Non-Durables","Household/Personal Care",4800,1846,"CHD"
200.1201,204.99,199.56,1458244,1491884.4,1491884.4,224.64,0.02168,363432632.703,118.5,74006519170,1.6046,15.0507,368981000,"David Michael Cordani","Bloomfield","Connecticut","Health Services","Managed Health Care",73700,1792,"CI"
62.1,62.31,59.84,1521919,2009825.8,2009825.8,118.19,4.05132,151228198.632,46.07,9827240220,1.18451,186.936,162246000,"Steven J. Johnston","Fairfield","Ohio","Finance","Property/Casualty Insurance",5148,1968,"CINF"
252.07,254.54,250.0804,483715,1155669.4,1155669.4,304.81,1.00898,87810708.4,154.33,26191466000,7.9086,28.6059,104050000,"Scott Douglas Farmer","Cincinnati","Ohio","Consumer Services","Other Consumer Services",45000,1968,"CTAS"
45.89,46.46,45.373,20027748,29050624.1,29050624.1,58.26,3.21142,4218746847.28,32.4001,193362923600,5.29923,17.7979,4240880000,"Charles H. Robbins","San Jose","California","Technology Services","Information Technology Services",75900,1984,"CSCO"
52.89,53.01,49.11,38020451,35108904.1,35108904.1,83.11,4.235,2064337368.67,32,102341779600,0.575166,6.67313,2081810000,"Michael Louis Corbat","New York","New York","Finance","Financial Conglomerates",200000,1812,"C"
25.99,26.11,24.572,4995932,6503873.8,6503873.8,41.29,5.85252,424442389.862,14.12,10520424540,0.536478,8.7792,426619000,"Bruce Winfield van Saun","Providence","Rhode Island","Finance","Regional Banks",5700,1828,"CFG"
